Índice de Desenvolvimento Humano (IDH)
Sigla;Código;Município;1970;1980;1991;
MA;2105922;Lagoa do Mato;;;;
MA;2105948;Lago dos Rodrigues;;;;
MA;2105963;Lagoa Grande do Maranhão;;;;
MA;2105989;Lajeado Novo;;;;
MA;2106003;Lima Campos;0,244;0,371;0,407;
MA;2106102;Loreto;0,241;0,379;0,431;
MA;2106201;Luís Domingues;0,264;0,353;0,42;
MA;2106300;Magalhães de Almeida;0,241;0,327;0,342;
MA;2106326;Maracaçumé;;;;
MA;2106359;Marajá do Sena;;;;
MA;2106375;Maranhãozinho;;;;
MA;2106409;Mata Roma;0,277;0,346;0,367;
MA;2106508;Matinha;0,342;0,369;0,392;
MA;2106607;Matões;0,206;0,259;0,357;
MA;2106631;Matões do Norte;;;;
MA;2106672;Milagres do Maranhão;;;;
MA;2106706;Mirador;0,288;0,334;0,381;
MA;2106755;Miranda do Norte;;;0,416;
MA;2106805;Mirinzal;0,291;0,344;0,426;
MA;2106904;Monção;0,272;0,4;0,386;
MA;2107001;Montes Altos;0,246;0,366;0,422;
MA;2107100;Morros;0,239;0,291;0,359;
MA;2107209;Nina Rodrigues;0,264;0,323;0,342;
MA;2107258;Nova Colinas;;;;
MA;2107308;Nova Iorque;0,279;0,377;0,377;
MA;2107357;Nova Olinda do Maranhão;;;;
MA;2107407;Olho d'Água das Cunhãs;0,233;0,371;0,372;
MA;2107456;Olinda Nova do Maranhão;;;;
MA;2107506;Paço do Lumiar;0,314;0,451;0,585;
MA;2107605;Palmeirândia;0,26;0,336;0,368;
MA;2107704;Paraibano;0,26;0,346;0,411;
MA;2107803;Parnarama;0,217;0,29;0,327;
MA;2107902;Passagem Franca;0,267;0,381;0,372;
MA;2108009;Pastos Bons;0,306;0,372;0,428;
MA;2108058;Paulino Neves;;;;
MA;2108108;Paulo Ramos;0,193;0,308;0,354;
MA;2108207;Pedreiras;0,302;0,427;0,462;
MA;2108256;Pedro do Rosário;;;;
MA;2108306;Penalva;0,323;0,44;0,384;
MA;2108405;Peri Mirim;0,277;0,418;0,439;
MA;2108454;Peritoró;;;;
MA;2108504;Pindaré-Mirim;0,287;0,378;0,412;
MA;2108603;Pinheiro;0,301;0,394;0,423;
MA;2108702;Pio XII;0,231;0,363;0,361;
MA;2108801;Pirapemas;0,274;0,379;0,357;
MA;2108900;Poção de Pedras;0,233;0,371;0,38;
MA;2109007;Porto Franco;0,315;0,399;0,458;
MA;2109056;Porto Rico do Maranhão;;;;
MA;2109106;Presidente Dutra;0,277;0,382;0,416;
MA;2109205;Presidente Juscelino;0,273;0,311;0,346;
MA;2109239;Presidente Médici;;;;
MA;2109270;Presidente Sarney;;;;
MA;2109304;Presidente Vargas;0,248;0,338;0,324;
MA;2109403;Primeira Cruz;0,262;0,356;0,382;
MA;2109452;Raposa;;;;
MA;2109502;Riachão;0,286;0,377;0,42;
MA;2109551;Ribamar Fiquene;;;;
MA;2109601;Rosário;0,293;0,379;0,411;
MA;2109700;Sambaíba;0,254;0,366;0,439;
MA;2109759;Santa Filomena do Maranhão;;;;
MA;2109809;Santa Helena;0,273;0,398;0,404;
MA;2109908;Santa Inês;0,334;0,503;0,488;
MA;2110005;Santa Luzia;0,244;0,363;0,358;
MA;2110039;Santa Luzia do Paruá;;;0,393;
MA;2110104;Santa Quitéria do Maranhão;0,189;0,291;0,359;
MA;2110203;Santa Rita;0,244;0,332;0,371;
MA;2110237;Santana do Maranhão;;;;
MA;2110278;Santo Amaro do Maranhão;;;;
MA;2110302;Santo Antônio dos Lopes;0,232;0,356;0,384;
MA;2110401;São Benedito do Rio Preto;0,237;0,296;0,356;
MA;2110500;São Bento;0,3;0,385;0,426;
MA;2110609;São Bernardo;0,2;0,31;0,342;
MA;2110658;São Domingos do Azeitão;;;;
MA;2110708;São Domingos do Maranhão;0,283;0,351;0,365;
MA;2110807;São Félix de Balsas;0,288;0,293;0,421;
MA;2110856;São Francisco do Brejão;;;;
MA;2110906;São Francisco do Maranhão;0,264;0,361;0,367;
MA;2111003;São João Batista;0,287;0,377;0,39;
MA;2111029;São João do Carú;;;;
MA;2111052;São João do Paraíso;;;;
MA;2111078;São João do Soter;;;;
MA;2111102;São João dos Patos;0,283;0,429;0,417;
MA;2111201;São José de Ribamar;0,333;0,464;0,526;
MA;2111250;São José dos Basílios;;;;
MA;2111300;São Luís;0,486;0,681;0,733;
MA;2111409;São Luís Gonzaga do Maranhão;0,262;0,371;0,403;
MA;2111508;São Mateus do Maranhão;0,262;0,351;0,38;
MA;2111532;São Pedro da Água Branca;;;;
MA;2111573;São Pedro dos Crentes;;;;
MA;2111607;São Raimundo das Mangabeiras;0,271;0,387;0,429;
MA;2111631;São Raimundo do Doca Bezerra;;;;
MA;2111672;São Roberto;;;;
MA;2111706;São Vicente Ferrer;0,252;0,292;0,367;
MA;2111722;Satubinha;;;;
MA;2111748;Senador Alexandre Costa;;;;
MA;2111763;Senador La Rocque;;;;
MA;2111789;Serrano do Maranhão;;;;
MA;2111805;Sítio Novo;0,286;0,36;0,42;
MA;2111904;Sucupira do Norte;0,286;0,352;0,38;
MA;2111953;Sucupira do Riachão;;;;
MA;2112001;Tasso Fragoso;0,242;0,432;0,383;
MA;2112100;Timbiras;0,225;0,301;0,326;
MA;2112209;Timon;0,263;0,418;0,481;
MA;2112233;Trizidela do Vale;;;;
MA;2112274;Tufilândia;;;;
MA;2112308;Tuntum;0,258;0,312;0,362;
MA;2112407;Turiaçu;0,242;0,378;0,373;
MA;2112456;Turilândia;;;;
MA;2112506;Tutóia;0,201;0,285;0,34;
MA;2112605;Urbano Santos;0,226;0,317;0,343;
MA;2112704;Vargem Grande;0,253;0,335;0,351;
MA;2112803;Viana;0,308;0,399;0,414;
MA;2112852;Vila Nova dos Martírios;;;;
MA;2112902;Vitória do Mearim;0,28;0,356;0,366;
MA;2113009;Vitorino Freire;0,245;0,361;0,391;
MA;2114007;Zé Doca;;;0,408;
MG;3100104;Abadia dos Dourados;0,362;0,575;0,63;
MG;3100203;Abaeté;0,424;0,618;0,616;
MG;3100302;Abre Campo;0,362;0,493;0,502;
MG;3100401;Acaiaca;0,316;0,463;0,517;
MG;3100500;Açucena;0,285;0,438;0,457;
MG;3100609;Água Boa;0,248;0,374;0,41;
MG;3100708;Água Comprida;0,37;0,678;0,642;
MG;3100807;Aguanil;0,385;0,553;0,569;
MG;3100906;Águas Formosas;0,24;0,365;0,428;
MG;3101003;Águas Vermelhas;0,286;0,375;0,442;
MG;3101102;Aimorés;0,326;0,532;0,558;
MG;3101201;Aiuruoca;0,422;0,612;0,57;
MG;3101300;Alagoa;0,346;0,501;0,633;
MG;3101409;Albertina;0,391;0,618;0,646;
MG;3101508;Além Paraíba;0,487;0,728;0,737;
MG;3101607;Alfenas;0,446;0,733;0,78;
MG;3101631;Alfredo Vasconcelos;;;;
MG;3101706;Almenara;0,29;0,41;0,486;
MG;3101805;Alpercata;0,348;0,423;0,48;
MG;3101904;Alpinópolis;0,431;0,658;0,685;
MG;3102001;Alterosa;0,414;0,586;0,557;
MG;3102050;Alto Caparaó;;;;
MG;3102100;Alto Rio Doce;0,327;0,472;0,469;
MG;3102209;Alvarenga;0,289;0,456;0,458;
MG;3102308;Alvinópolis;0,445;0,542;0,611;
MG;3102407;Alvorada de Minas;0,33;0,439;0,443;
MG;3102506;Amparo do Serra;0,32;0,401;0,474;
MG;3102605;Andradas;0,49;0,684;0,767;
MG;3102704;Cachoeira de Pajeú;0,256;0,363;0,425;
MG;3102803;Andrelândia;0,344;0,677;0,586;
MG;3102852;Angelândia;;;;
MG;3102902;Antônio Carlos;0,366;0,528;0,557;
MG;3103009;Antônio Dias;0,329;0,505;0,488;
MG;3103108;Antônio Prado de Minas;0,343;0,515;0,52;
MG;3103207;Araçaí;0,405;0,594;0,653;
MG;3103306;Aracitaba;0,324;0,509;0,55;
MG;3103405;Araçuaí;0,295;0,442;0,496;
MG;3103504;Araguari;0,521;0,73;0,777;
MG;3103603;Arantina;0,341;0,612;0,556;
MG;3103702;Araponga;0,307;0,365;0,425;
MG;3103751;Araporã;;;;
MG;3103801;Arapuá;0,41;0,597;0,618;
MG;3103900;Araújos;0,401;0,607;0,629;
MG;3104007;Araxá;0,547;0,735;0,775;
MG;3104106;Arceburgo;0,397;0,665;0,631;
MG;3104205;Arcos;0,414;0,673;0,687;
MG;3104304;Areado;0,444;0,687;0,645;
MG;3104403;Argirita;0,349;0,616;0,537;
MG;3104452;Aricanduva;;;;
MG;3104502;Arinos;0,279;0,494;0,482;
MG;3104601;Astolfo Dutra;0,396;0,639;0,64;
MG;3104700;Ataléia;0,252;0,377;0,42;
MG;3104809;Augusto de Lima;0,358;0,517;0,482;
MG;3104908;Baependi;0,377;0,548;0,591;
MG;3105004;Baldim;0,363;0,529;0,581;
MG;3105103;Bambuí;0,417;0,679;0,653;
MG;3105202;Bandeira;0,226;0,329;0,374;
MG;3105301;Bandeira do Sul;0,397;0,591;0,608;
MG;3105400;Barão de Cocais;0,398;0,676;0,62;
MG;3105509;Barão de Monte Alto;0,343;0,52;0,498;
MG;3105608;Barbacena;0,463;0,703;0,719;
MG;3105707;Barra Longa;0,357;0,515;0,516;
MG;3105905;Barroso;0,443;0,659;0,604;
MG;3106002;Bela Vista de Minas;0,411;0,587;0,559;
MG;3106101;Belmiro Braga;0,357;0,561;0,601;
MG;3106200;Belo Horizonte;0,648;0,736;0,796;
MG;3106309;Belo Oriente;0,274;0,445;0,514;
MG;3106408;Belo Vale;0,381;0,546;0,534;
MG;3106507;Berilo;0,204;0,366;0,483;
MG;3106606;Bertópolis;0,225;0,354;0,381;
MG;3106655;Berizal;;;;
MG;3106705;Betim;0,416;0,642;0,666;
MG;3106804;Bias Fortes;0,434;0,514;0,551;
MG;3106903;Bicas;0,509;0,742;0,765;
MG;3107000;Biquinhas;0,401;0,508;0,585;
MG;3107109;Boa Esperança;0,418;0,699;0,719;
MG;3107208;Bocaina de Minas;0,335;0,522;0,568;
MG;3107307;Bocaiúva;0,339;0,504;0,532;
MG;3107406;Bom Despacho;0,451;0,673;0,744;
MG;3107505;Bom Jardim de Minas;0,379;0,703;0,651;
MG;3107604;Bom Jesus da Penha;0,323;0,595;0,629;
MG;3107703;Bom Jesus do Amparo;0,387;0,547;0,55;
MG;3107802;Bom Jesus do Galho;0,285;0,454;0,459;
MG;3107901;Bom Repouso;0,333;0,575;0,616;
MG;3108008;Bom Sucesso;0,36;0,592;0,572;
MG;3108107;Bonfim;0,328;0,498;0,538;
MG;3108206;Bonfinópolis de Minas;0,287;0,658;0,58;
MG;3108255;Bonito de Minas;;;;
MG;3108305;Borda da Mata;0,411;0,728;0,707;
MG;3108404;Botelhos;0,419;0,613;0,681;
MG;3108503;Botumirim;0,273;0,421;0,489;
MG;3108552;Brasilândia de Minas;;;;
MG;3108602;Brasília de Minas;0,305;0,434;0,465;
MG;3108701;Brás Pires;0,362;0,497;0,482;
MG;3108800;Braúnas;0,34;0,446;0,467;
MG;3108909;Brasópolis;0,355;0,536;0,583;
MG;3109006;Brumadinho;0,403;0,657;0,661;
MG;3109105;Bueno Brandão;0,369;0,58;0,63;
MG;3109204;Buenópolis;0,337;0,512;0,482;
MG;3109253;Bugre;;;;
MG;3109303;Buritis;0,297;0,524;0,505;
MG;3109402;Buritizeiro;0,308;0,459;0,467;
MG;3109451;Cabeceira Grande;;;;
MG;3109501;Cabo Verde;0,402;0,657;0,621;
MG;3109600;Cachoeira da Prata;0,52;0,725;0,741;
MG;3109709;Cachoeira de Minas;0,403;0,593;0,594;
MG;3109808;Cachoeira Dourada;0,389;0,67;0,541;
MG;3109907;Caetanópolis;0,443;0,624;0,669;
MG;3110004;Caeté;0,439;0,674;0,646;
MG;3110103;Caiana;0,357;0,664;0,525;
MG;3110202;Cajuri;0,343;0,553;0,468;
MG;3110301;Caldas;0,407;0,633;0,703;
MG;3110400;Camacho;0,286;0,501;0,534;
MG;3110509;Camanducaia;0,355;0,579;0,67;
MG;3110608;Cambuí;0,422;0,585;0,68;
MG;3110707;Cambuquira;0,429;0,694;0,671;
MG;3110806;Campanário;0,269;0,38;0,463;
MG;3110905;Campanha;0,45;0,711;0,689;
MG;3111002;Campestre;0,391;0,626;0,621;
MG;3111101;Campina Verde;0,445;0,655;0,674;
MG;3111150;Campo Azul;;;;
MG;3111200;Campo Belo;0,398;0,688;0,641;
MG;3111309;Campo do Meio;0,38;0,575;0,624;
MG;3111408;Campo Florido;0,422;0,734;0,782;
MG;3111507;Campos Altos;0,445;0,716;0,688;
MG;3111606;Campos Gerais;0,403;0,551;0,608;
MG;3111705;Canaã;0,339;0,426;0,428;
MG;3111804;Canápolis;0,383;0,565;0,646;
MG;3111903;Cana Verde;0,33;0,593;0,581;
MG;3112000;Candeias;0,322;0,484;0,547;
MG;3112059;Cantagalo;;;;
MG;3112109;Caparaó;0,334;0,519;0,572;
MG;3112208;Capela Nova;0,353;0,531;0,556;
MG;3112307;Capelinha;0,258;0,434;0,465;
MG;3112406;Capetinga;0,403;0,64;0,634;
MG;3112505;Capim Branco;0,402;0,617;0,632;
MG;3112604;Capinópolis;0,377;0,615;0,678;
MG;3112653;Capitão Andrade;;;;
MG;3112703;Capitão Enéas;0,305;0,42;0,486;
MG;3112802;Capitólio;0,365;0,614;0,707;
MG;3112901;Caputira;0,341;0,504;0,458;
MG;3113008;Caraí;0,243;0,334;0,39;
MG;3113107;Caranaíba;0,302;0,461;0,522;
MG;3113206;Carandaí;0,402;0,676;0,605;
MG;3113305;Carangola;0,44;0,623;0,617;
MG;3113404;Caratinga;0,332;0,506;0,554;
MG;3113503;Carbonita;0,219;0,437;0,468;
MG;3113602;Careaçu;0,34;0,549;0,622;
MG;3113701;Carlos Chagas;0,317;0,497;0,497;
MG;3113800;Carmésia;0,355;0,436;0,505;
MG;3113909;Carmo da Cachoeira;0,317;0,561;0,579;
MG;3114006;Carmo da Mata;0,403;0,607;0,596;
MG;3114105;Carmo de Minas;0,393;0,566;0,637;
MG;3114204;Carmo do Cajuru;0,39;0,565;0,609;
MG;3114303;Carmo do Paranaíba;0,412;0,657;0,692;
MG;3114402;Carmo do Rio Claro;0,365;0,684;0,59;
MG;3114501;Carmópolis de Minas;0,41;0,564;0,582;
MG;3114550;Carneirinho;;;;
MG;3114600;Carrancas;0,403;0,696;0,599;
MG;3114709;Carvalhópolis;0,383;0,651;0,585;
MG;3114808;Carvalhos;0,384;0,574;0,553;
MG;3114907;Casa Grande;0,357;0,618;0,48;
MG;3115003;Cascalho Rico;0,41;0,661;0,672;
MG;3115102;Cássia;0,434;0,664;0,73;
MG;3115201;Conceição da Barra de Minas;0,306;0,525;0,5;
MG;3115300;Cataguases;0,476;0,694;0,7;
MG;3115359;Catas Altas;;;;
MG;3115409;Catas Altas da Noruega;0,309;0,426;0,487;
MG;3115458;Catuji;;;;
MG;3115474;Catuti;;;;
MG;3115508;Caxambu;0,499;0,7;0,71;
MG;3115607;Cedro do Abaeté;0,352;0,493;0,546;
MG;3115706;Central de Minas;0,285;0,492;0,499;
MG;3115805;Centralina;0,377;0,649;0,623;
MG;3115904;Chácara;0,361;0,528;0,617;
MG;3116001;Chalé;0,319;0,423;0,513;
MG;3116100;Chapada do Norte;0,191;0,393;0,416;
MG;3116159;Chapada Gaúcha;;;;
MG;3116209;Chiador;0,384;0,483;0,549;
MG;3116308;Cipotânea;0,377;0,505;0,447;
MG;3116407;Claraval;0,359;0,578;0,648;
MG;3116506;Claro dos Poções;0,295;0,424;0,473;
MG;3116605;Cláudio;0,383;0,611;0,617;
MG;3116704;Coimbra;0,419;0,515;0,553;
MG;3116803;Coluna;0,237;0,377;0,431;
MG;3116902;Comendador Gomes;0,392;0,713;0,749;
MG;3117009;Comercinho;0,262;0,343;0,401;
MG;3117108;Conceição da Aparecida;0,375;0,661;0,602;
MG;3117207;Conceição das Pedras;0,359;0,558;0,641;
MG;3117306;Conceição das Alagoas;0,4;0,691;0,742;
MG;3117405;Conceição de Ipanema;0,315;0,428;0,528;
MG;3117504;Conceição do Mato Dentro;0,341;0,434;0,477;
MG;3117603;Conceição do Pará;0,364;0,512;0,605;
MG;3117702;Conceição do Rio Verde;0,355;0,552;0,603;
MG;3117801;Conceição dos Ouros;0,389;0,565;0,596;
MG;3117836;Cônego Marinho;;;;
MG;3117876;Confins;;;;
MG;3117900;Congonhal;0,335;0,565;0,679;
MG;3118007;Congonhas;0,431;0,699;0,697;
MG;3118106;Congonhas do Norte;0,291;0,376;0,446;
MG;3118205;Conquista;0,447;0,696;0,637;
MG;3118304;Conselheiro Lafaiete;0,489;0,735;0,733;
MG;3118403;Conselheiro Pena;0,346;0,49;0,521;
MG;3118502;Consolação;0,37;0,507;0,537;
MG;3118601;Contagem;0,484;0,716;0,75;
MG;3118700;Coqueiral;0,372;0,575;0,612;
MG;3118809;Coração de Jesus;0,291;0,435;0,469;
MG;3118908;Cordisburgo;0,384;0,614;0,564;
MG;3119005;Cordislândia;0,404;0,639;0,603;
MG;3119104;Corinto;0,427;0,646;0,605;
MG;3119203;Coroaci;0,274;0,458;0,44;
MG;3119302;Coromandel;0,415;0,657;0,7;
MG;3119401;Coronel Fabriciano;0,455;0,696;0,696;
MG;3119500;Coronel Murta;0,332;0,411;0,442;
MG;3119609;Coronel Pacheco;0,37;0,526;0,576;
MG;3119708;Coronel Xavier Chaves;0,385;0,595;0,539;
MG;3119807;Córrego Danta;0,361;0,573;0,629;
MG;3119906;Córrego do Bom Jesus;0,349;0,498;0,579;
MG;3119955;Córrego Fundo;;;;
MG;3120003;Córrego Novo;0,313;0,451;0,465;
MG;3120102;Couto de Magalhães de Minas;0,285;0,491;0,548;
MG;3120151;Crisólita;;;;
MG;3120201;Cristais;0,358;0,684;0,622;
MG;3120300;Cristália;0,227;0,341;0,423;
MG;3120409;Cristiano Otoni;0,4;0,607;0,571;
MG;3120508;Cristina;0,349;0,547;0,618;
MG;3120607;Crucilândia;0,341;0,499;0,711;
MG;3120706;Cruzeiro da Fortaleza;0,376;0,686;0,664;
MG;3120805;Cruzília;0,372;0,624;0,62;
MG;3120839;Cuparaque;;;;
MG;3120870;Curral de Dentro;;;;
MG;3120904;Curvelo;0,419;0,703;0,64;
MG;3121001;Datas;0,298;0,341;0,528;
MG;3121100;Delfim Moreira;0,338;0,516;0,601;
MG;3121209;Delfinópolis;0,316;0,583;0,597;
MG;3121258;Delta;;;;
MG;3121308;Descoberto;0,362;0,503;0,541;
MG;3121407;Desterro de Entre Rios;0,338;0,52;0,486;
MG;3121506;Desterro do Melo;0,283;0,483;0,528;
MG;3121605;Diamantina;0,392;0,577;0,616;
MG;3121704;Diogo de Vasconcelos;0,355;0,421;0,473;
MG;3121803;Dionísio;0,346;0,482;0,532;
MG;3121902;Divinésia;0,349;0,496;0,488;
MG;3122009;Divino;0,348;0,531;0,536;
MG;3122108;Divino das Laranjeiras;0,244;0,484;0,483;
MG;3122207;Divinolândia de Minas;0,285;0,477;0,452;
MG;3122306;Divinópolis;0,458;0,727;0,772;
MG;3122355;Divisa Alegre;;;;
MG;3122405;Divisa Nova;0,342;0,602;0,688;
MG;3122454;Divisópolis;;;;
MG;3122470;Dom Bosco;;;;
MG;3122504;Dom Cavati;0,341;0,535;0,611;
MG;3122603;Dom Joaquim;0,307;0,424;0,45;
MG;3122702;Dom Silvério;0,341;0,538;0,501;
MG;3122801;Dom Viçoso;0,332;0,448;0,559;
MG;3122900;Dona Eusébia;0,354;0,561;0,565;
MG;3123007;Dores de Campos;0,411;0,571;0,598;
MG;3123106;Dores de Guanhães;0,249;0,383;0,459;
MG;3123205;Dores do Indaiá;0,446;0,634;0,737;
MG;3123304;Dores do Turvo;0,37;0,481;0,504;
MG;3123403;Doresópolis;0,355;0,579;0,591;
MG;3123502;Douradoquara;0,407;0,578;0,624;
MG;3123528;Durandé;;;;
MG;3123601;Elói Mendes;0,409;0,682;0,708;
MG;3123700;Engenheiro Caldas;0,292;0,423;0,52;
MG;3123809;Engenheiro Navarro;0,298;0,419;0,497;
MG;3123858;Entre Folhas;;;;
MG;3123908;Entre Rios de Minas;0,369;0,639;0,561;
MG;3124005;Ervália;0,313;0,437;0,484;
MG;3124104;Esmeraldas;0,42;0,58;0,588;
MG;3124203;Espera Feliz;0,36;0,618;0,562;
MG;3124302;Espinosa;0,272;0,444;0,434;
MG;3124401;Espírito Santo do Dourado;0,401;0,591;0,589;
MG;3124500;Estiva;0,381;0,542;0,65;
MG;3124609;Estrela Dalva;0,368;0,649;0,618;
MG;3124708;Estrela do Indaiá;0,388;0,578;0,665;
MG;3124807;Estrela do Sul;0,399;0,569;0,63;
MG;3124906;Eugenópolis;0,351;0,532;0,551;
MG;3125002;Ewbank da Câmara;0,363;0,519;0,569;
MG;3125101;Extrema;0,429;0,681;0,732;
MG;3125200;Fama;0,378;0,564;0,716;
MG;3125309;Faria Lemos;0,393;0,531;0,542;
MG;3125408;Felício dos Santos;0,221;0,39;0,419;
MG;3125507;São Gonçalo do Rio Preto;0,295;0,446;0,462;
MG;3125606;Felisburgo;0,285;0,383;0,438;
MG;3125705;Felixlândia;0,393;0,697;0,593;
MG;3125804;Fernandes Tourinho;0,264;0,419;0,451;
MG;3125903;Ferros;0,363;0,427;0,516;
MG;3125952;Fervedouro;;;;
MG;3126000;Florestal;0,435;0,646;0,689;
MG;3126109;Formiga;0,403;0,649;0,669;
MG;3126208;Formoso;0,256;0,417;0,492;
MG;3126307;Fortaleza de Minas;0,365;0,547;0,638;
MG;3126406;Fortuna de Minas;0,37;0,626;0,571;
MG;3126505;Francisco Badaró;0,212;0,33;0,392;
MG;3126604;Francisco Dumont;0,394;0,477;0,494;
MG;3126703;Francisco Sá;0,307;0,429;0,471;
MG;3126752;Franciscópolis;;;;
MG;3126802;Frei Gaspar;0,255;0,365;0,365;
MG;3126901;Frei Inocêncio;0,285;0,433;0,555;
MG;3126950;Frei Lagonegro;;;;
MG;3127008;Fronteira;0,488;0,685;0,759;
MG;3127057;Fronteira dos Vales;0,198;0,353;0,383;
MG;3127073;Fruta de Leite;;;;
MG;3127107;Frutal;0,453;0,736;0,767;
MG;3127206;Funilândia;0,362;0,554;0,662;
MG;3127305;Galiléia;0,286;0,488;0,515;
MG;3127339;Gameleiras;;;;
MG;3127354;Glaucilândia;;;;
MG;3127370;Goiabeira;;;;
MG;3127388;Goianá;;;;
MG;3127404;Gonçalves;0,287;0,515;0,601;
MG;3127503;Gonzaga;0,202;0,381;0,441;
MG;3127602;Gouveia;0,393;0,504;0,567;
MG;3127701;Governador Valadares;0,412;0,688;0,737;
MG;3127800;Grão Mogol;0,227;0,384;0,464;
MG;3127909;Grupiara;0,373;0,586;0,644;
MG;3128006;Guanhães;0,313;0,562;0,531;
MG;3128105;Guapé;0,361;0,638;0,587;
MG;3128204;Guaraciaba;0,301;0,419;0,438;
MG;3128253;Guaraciama;;;;
MG;3128303;Guaranésia;0,424;0,678;0,651;
MG;3128402;Guarani;0,373;0,622;0,609;
MG;3128501;Guarará;0,378;0,599;0,608;
MG;3128600;Guarda-Mor;0,442;0,64;0,662;
MG;3128709;Guaxupé;0,468;0,7;0,779;
MG;3128808;Guidoval;0,333;0,505;0,564;
MG;3128907;Guimarânia;0,437;0,626;0,694;
MG;3129004;Guiricema;0,416;0,494;0,534;
MG;3129103;Gurinhatã;0,352;0,67;0,604;
MG;3129202;Heliodora;0,336;0,497;0,57;
MG;3129301;Iapu;0,289;0,415;0,506;
MG;3129400;Ibertioga;0,368;0,471;0,562;
MG;3129509;Ibiá;0,428;0,696;0,679;
MG;3129608;Ibiaí;0,263;0,391;0,488;
MG;3129657;Ibiracatu;;;;
MG;3129707;Ibiraci;0,435;0,684;0,683;
MG;3129806;Ibirité;0,361;0,557;0,585;
MG;3129905;Ibitiúra de Minas;0,464;0,559;0,679;
MG;3130002;Ibituruna;0,369;0,583;0,599;
MG;3130051;Icaraí de Minas;;;;
MG;3130101;Igarapé;0,363;0,556;0,598;
MG;3130200;Igaratinga;0,4;0,633;0,642;
MG;3130309;Iguatama;0,383;0,705;0,655;
MG;3130408;Ijaci;0,417;0,627;0,547;
MG;3130507;Ilicínea;0,378;0,581;0,607;
MG;3130556;Imbé de Minas;;;;
MG;3130606;Inconfidentes;0,355;0,636;0,662;
MG;3130655;Indaiabira;;;;
MG;3130705;Indianópolis;0,33;0,628;0,634;
MG;3130804;Ingaí;0,445;0,568;0,647;
MG;3130903;Inhapim;0,3;0,453;0,524;
MG;3131000;Inhaúma;0,396;0,553;0,575;
MG;3131109;Inimutaba;0,432;0,528;0,548;
MG;3131158;Ipaba;;;;
MG;3131208;Ipanema;0,344;0,493;0,513;
MG;3131307;Ipatinga;0,476;0,701;0,748;
MG;3131406;Ipiaçu;0,363;0,569;0,586;
MG;3131505;Ipuiúna;0,429;0,711;0,728;
MG;3131604;Iraí de Minas;0,342;0,692;0,748;
MG;3131703;Itabira;0,478;0,698;0,743;
MG;3131802;Itabirinha de Mantena;0,257;0,406;0,498;
MG;3131901;Itabirito;0,491;0,719;0,718;
MG;3132008;Itacambira;0,29;0,432;0,47;
MG;3132107;Itacarambi;0,219;0,364;0,395;
MG;3132206;Itaguara;0,365;0,529;0,626;
MG;3132305;Itaipé;0,208;0,307;0,379;
MG;3132404;Itajubá;0,506;0,726;0,805;
MG;3132503;Itamarandiba;0,234;0,38;0,448;
MG;3132602;Itamarati de Minas;0,355;0,562;0,564;
MG;3132701;Itambacuri;0,275;0,444;0,48;
MG;3132800;Itambé do Mato Dentro;0,231;0,398;0,463;
MG;3132909;Itamogi;0,436;0,589;0,62;
MG;3133006;Itamonte;0,407;0,7;0,63;
MG;3133105;Itanhandu;0,499;0,684;0,772;
MG;3133204;Itanhomi;0,292;0,424;0,487;
MG;3133303;Itaobim;0,267;0,421;0,457;
MG;3133402;Itapagipe;0,469;0,703;0,714;
MG;3133501;Itapecerica;0,388;0,558;0,606;
MG;3133600;Itapeva;0,387;0,633;0,728;
MG;3133709;Itatiaiuçu;0,362;0,565;0,569;
MG;3133758;Itaú de Minas;;;0,729;
MG;3133808;Itaúna;0,456;0,726;0,761;
MG;3133907;Itaverava;0,34;0,487;0,526;
MG;3134004;Itinga;0,25;0,346;0,394;
MG;3134103;Itueta;0,359;0,465;0,508;
MG;3134202;Ituiutaba;0,474;0,71;0,771;
MG;3134301;Itumirim;0,399;0,632;0,596;
MG;3134400;Iturama;0,37;0,688;0,664;
MG;3134509;Itutinga;0,487;0,626;0,606;
MG;3134608;Jaboticatubas;0,37;0,518;0,548;
MG;3134707;Jacinto;0,262;0,386;0,404;
MG;3134806;Jacuí;0,342;0,524;0,576;
MG;3134905;Jacutinga;0,454;0,698;0,715;
MG;3135001;Jaguaraçu;0,385;0,598;0,556;
MG;3135050;Jaíba;;;;
MG;3135076;Jampruca;;;;
MG;3135100;Janaúba;0,282;0,509;0,549;
MG;3135209;Januária;0,31;0,404;0,467;
MG;3135308;Japaraíba;0,329;0,532;0,569;
MG;3135357;Japonvar;;;;
MG;3135407;Jeceaba;0,383;0,489;0,527;
MG;3135456;Jenipapo de Minas;;;;
MG;3135506;Jequeri;0,26;0,441;0,465;
MG;3135605;Jequitaí;0,314;0,498;0,493;
MG;3135704;Jequitibá;0,374;0,505;0,503;
MG;3135803;Jequitinhonha;0,264;0,416;0,456;
MG;3135902;Jesuânia;0,377;0,525;0,563;
MG;3136009;Joaíma;0,255;0,359;0,418;
MG;3136108;Joanésia;0,262;0,376;0,446;
MG;3136207;João Monlevade;0,513;0,728;0,731;
MG;3136306;João Pinheiro;0,346;0,658;0,59;
MG;3136405;Joaquim Felício;0,373;0,611;0,455;
MG;3136504;Jordânia;0,28;0,384;0,475;
MG;3136520;José Gonçalves de Minas;;;;
MG;3136553;José Raydan;;;;
